run_id,sol,E,tension,cyl_rad,approach_deg,geometric_fc,angular_span,num_contacts,total_energy
20260116_032231,approach_angle,20000000.0,3.0,0.015,45.0,False,94.82696098149438,28,509.70531285422874
20260116_032806,approach_angle,10000000.0,2.0,0.01,0.0,False,39.23361099204061,11,413.88869127030273
20260116_032955,approach_angle,10000000.0,2.0,0.01,12.86,False,48.41919575201274,22,318.65942823947285
20260116_033146,approach_angle,10000000.0,2.0,0.01,25.71,False,98.68851022528497,24,738.4955243106414
20260116_033337,approach_angle,10000000.0,2.0,0.01,38.57,True,230.52243756708816,30,362.98746503762044
20260116_033531,approach_angle,10000000.0,2.0,0.01,51.43,True,226.02134685680466,30,302.42763205658486
20260116_033725,approach_angle,10000000.0,2.0,0.01,64.29,False,31.086749079479375,7,1021.2495862514072
20260116_033911,approach_angle,10000000.0,2.0,0.01,77.14,False,1.79674837631228,2,481.2131288625077
20260116_034041,approach_angle,10000000.0,2.0,0.01,90.0,False,9.424484834315706,12,495.7169946237061
20260116_034154,approach_angle,10000000.0,2.0,0.015,0.0,False,43.32651864813306,26,625.1782612093083
20260116_034345,approach_angle,10000000.0,2.0,0.015,12.86,False,136.77022511959495,28,212.22492067695393
20260116_034534,approach_angle,10000000.0,2.0,0.015,25.71,True,202.86043145366426,34,311.22680663260655
20260116_034724,approach_angle,10000000.0,2.0,0.015,38.57,True,196.52068303953018,27,307.0304033052843
20260116_034915,approach_angle,10000000.0,2.0,0.015,51.43,False,91.48018187441448,26,278.8383091673783
20260116_035107,approach_angle,10000000.0,2.0,0.015,64.29,False,14.568269959715508,5,1026.9681263345137
20260116_035248,approach_angle,10000000.0,2.0,0.015,77.14,False,10.201974155107735,6,493.9964342410901
20260116_035420,approach_angle,10000000.0,2.0,0.015,90.0,False,24.048739846190756,24,485.33748721973035
20260116_035542,approach_angle,10000000.0,3.0,0.01,0.0,False,51.43210536920827,15,667.8146135121816
20260116_035731,approach_angle,10000000.0,3.0,0.01,12.86,False,39.393814136920355,29,316.14847634528735
20260116_035919,approach_angle,10000000.0,3.0,0.01,25.71,False,69.79996418505078,15,1615.11196976079
20260116_040112,approach_angle,10000000.0,3.0,0.01,38.57,False,70.29863475814301,15,1503.7537197073957
20260116_040305,approach_angle,10000000.0,3.0,0.01,51.43,True,238.2533600091325,31,316.5493242839928
20260116_040503,approach_angle,10000000.0,3.0,0.01,64.29,False,30.960871650185368,7,973.1282526785873
20260116_040649,approach_angle,10000000.0,3.0,0.01,77.14,False,39.34977488355236,12,1335.6817406640812
20260116_040946,approach_angle,10000000.0,3.0,0.015,0.0,False,48.43716439028083,28,793.499875052792
20260116_041139,approach_angle,10000000.0,3.0,0.015,12.86,False,19.325866237764103,9,803.4965726712761
20260116_041328,approach_angle,10000000.0,3.0,0.015,25.71,True,206.6951466511143,37,393.8381907292519
20260116_041521,approach_angle,10000000.0,3.0,0.015,38.57,False,146.14376988048983,13,1454.0312070247708
20260116_041717,approach_angle,10000000.0,3.0,0.015,51.43,False,101.08332771992042,28,306.97654777243446
20260116_041916,approach_angle,10000000.0,3.0,0.015,64.29,False,10.72691660869748,4,998.2704388807684
20260116_042101,approach_angle,10000000.0,3.0,0.015,77.14,False,8.308566738863249,4,823.0582420892034
20260116_042243,approach_angle,10000000.0,3.0,0.015,90.0,False,7.449970983261721,9,401.4593824932954
20260116_042418,approach_angle,10000000.0,5.0,0.01,0.0,False,0.9390447929210382,2,1146.3077392767834
